date,ticker,group,open,close,high,low,volume,ingest_date,ma30,ma30_slope_pct,ma30_slope_signal,ma30_slope_signal_confirmed,price_to_ma_pct,price_vs_ma_signal,price_vs_ma_breakout,price_vs_ma_signal_confirmed,bench_close,rs_ratio,rs_slope_pct,rs_slope_signal,rs_slope_signal_confirmed,recent_avg_vol,vol_factor,recent_max_vol,vol_rank_pct,up_week,vol_on_up,vol_on_down,accumulation_score,breakout_volume_ok,accumulation_confirmed,distribution_confirmed,stage_score_core,stage_label_core,stage_reason
2025-09-15,ACHR,Leader,9.36,9.86,9.94,8.77,223083059,2025-11-29,9.406333333333333,-0.15401926999086185,flat,flat,4.822991601403313,above,true,unconfirmed_above,663.7,0.014856109688112096,-0.5851019351865644,falling,falling,129956019.75,1.7166042745011048,317672009,0.7022433600689068,true,1,0,0.125,true,false,false,0.25,Stage 4, |  |  | 
2025-09-22,ACHR,Leader,9.76,9.28,10.33,8.92,227783255,2025-11-29,9.419666666666664,-0.1049000281610895,flat,flat,-1.4827134718142725,near,false,unconfirmed_near,661.82,0.014021939500166206,-1.3369139050182155,falling,falling,159927507,1.4242906631440206,317672009,0.7170391112425647,false,0,0,0.125,false,false,false,0.25,Stage 4, |  |  | 
2025-09-29,ACHR,Leader,9.39,11.57,11.59,9.17,301622609,2025-11-29,9.554666666666664,0.21581211651032534,flat,flat,21.092659782305365,above,false,unconfirmed_above,669.21,0.01728904230361172,4.852765995620995,rising,unconfirmed_rising,215114571.75,1.4021486622047026,317672009,0.9494780794489199,true,0,0,0.125,true,false,false,0.25,Stage 4, |  |  | 
2025-10-06,ACHR,Leader,12.1,11.97,13.81,10.95,478311599,2025-11-29,9.690333333333333,0.5405214442167794,rising,unconfirmed_rising,23.525162533108603,above,false,unconfirmed_above,653.02,0.018330219595111944,7.838609610643066,rising,unconfirmed_rising,307700130.5,1.5544731756296737,478311599,1,true,1,0,0.25,true,false,false,0.1,Stage 4, |  |  | 
2025-10-13,ACHR,Leader,12.11,11.24,14.62,11.08,370722256,2025-11-29,9.774333333333333,0.8363533006466319,rising,unconfirmed_rising,14.99505507622004,above,false,above,664.39,0.016917774198889207,5.351573886025202,rising,rising,344609929.75,1.0757735746875994,478311599,0.775064323706689,false,0,0,0.25,false,false,false,0.6,Stage 1, |  |  | 
2025-10-20,ACHR,Leader,11.87,11.29,12.13,10.38,272794172,2025-11-29,9.908666666666669,1.0680747014422967,rising,rising,13.940658009823018,above,false,above,677.25,0.0166703580657069,2.442427278315766,rising,rising,355862659,0.7665714991468099,478311599,0.570327319200135,true,0,0,0.25,false,false,false,0.9,Stage 2, |  |  | 
2025-10-27,ACHR,Leader,11.58,11.22,11.72,10.76,256333127,2025-11-29,10.076000000000002,1.3935383417672345,rising,rising,11.353711790392994,above,false,above,682.06,0.016450165674574087,3.4634669110918623,rising,rising,344540288.5,0.7439859301098832,478311599,0.5359124209739267,false,0,0,0.25,false,false,false,0.9,Stage 2, |  |  | 
2025-11-03,ACHR,Leader,11.09,8.18,11.09,7.2,423867534,2025-11-29,10.114333333333336,1.171504325983824,rising,rising,-19.124674554262956,below,false,unconfirmed_below,670.97,0.012191305125415443,-5.897072942127451,falling,unconfirmed_falling,330929272.25,1.2808402566449,478311599,0.8861744830904675,false,0,0,0.25,false,false,false,0.4,Stage 3, |  |  | 
2025-11-10,ACHR,Leader,8.47,7.88,9.11,7.62,453028554,2025-11-29,10.136000000000001,0.9198169997592124,rising,rising,-22.257300710339393,below,false,unconfirmed_below,671.93,0.011727412081615644,-7.204286319905353,falling,unconfirmed_falling,351505846.75,1.2888222434667085,478311599,0.9471410581452364,false,0,0,0.125,true,false,false,0.4,Stage 3, |  |  | 
2025-11-17,ACHR,Leader,7.82,7.18,7.88,6.55,319688254,2025-11-29,10.089,0.6438631790744485,rising,rising,-28.833382892258903,below,false,below,659.03,0.01089479993323521,-7.120291587825372,falling,falling,363229367.25,0.8801277727633957,478311599,0.668368182307032,false,0,0,0.125,false,false,false,0.4,Stage 3, |  |  | 
2025-11-24,ACHR,Leader,7.18,7.79,7.9268,7.1,123638427,2025-11-29,10.039000000000003,0.26306936688421145,flat,unconfirmed_flat,-22.402629743998432,below,false,below,683.39,0.011399054712536034,-6.324163323179752,falling,falling,330055692.25,0.37459868108061695,478311599,0.2584892928762114,true,0,0,0.125,false,false,false,0.1,Stage 4, |  |  | 
2025-06-09,ADBE,Leader,417.295,391.68,419.82,383.75,25990055,2025-11-29,423.45416666666665,-0.6267294669524518,falling,falling,-7.5035668952759496,below,false,below,593.5983426473,0.659840117230121,-0.6797947155928259,falling,unconfirmed_falling,15505602.25,1.6761719139287221,41782469,0.6220325323522647,false,0,1,-0.125,false,false,false,0.1,Stage 4, |  |  | 
2025-06-16,ADBE,Leader,392.985,376.92,405,373.76,26600312,2025-11-29,418.9465,-0.7186111024816967,falling,falling,-10.03147179890511,below,false,below,592.6449232845,0.635996336408435,-1.9835431453527408,falling,unconfirmed_falling,19172104,1.3874487641001738,41782469,0.6366381077192925,false,0,0,-0.125,false,false,false,0.1,Stage 4, |  |  | 
2025-06-23,ADBE,Leader,377.59,385.83,390.31,374.24,20581060,2025-11-29,414.60983333333337,-0.8062628922553615,falling,falling,-6.941425653596426,below,false,below,613.21816278,0.6291888000362793,-2.227016697930818,falling,falling,21582471.25,0.9536007142833562,41782469,0.4925764439626581,true,0,0,-0.125,false,false,false,0.1,Stage 4, |  |  | 
